feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,target
0.831,1.019,-0.75,-0.421,-0.928,-0.454,-0.502,-0.497,-0.048,1.746,0.219,-0.495,-0.757,-1.126,-1.439,0.285,0.638,2.031,0.049,-2.245,-0.788,1.453,2.368,0.525,-0.151,-0.717,-0.904,-1.305,0.69,-0.664,1.193,1.176,1,0.217,-0.101,-1.02,1.134,-0.206,0.264,-0.031,-0.88,-0.177,-0.549,1.612,-0.771,1.571,1.023,0.213,0.778,1.039,-17639.765
1.888,-0.477,0.538,-0.24,0.944,-0.995,-0.656,-1.7,0.486,0.011,2.253,-1.508,-1.442,0.022,0.435,0.44,-0.938,-0.546,0.071,0.271,0.432,0.485,-1.49,-0.342,0.448,-0.501,0.607,0.899,0.639,1.071,-0.628,-0.073,0.682,0.286,-0.71,-1.292,0.145,0.844,2.439,0.334,0.618,-0.172,-0.849,1.61,-0.012,-0.662,-2.372,1.007,1.109,0.418,-5293.22
0.984,0.421,0.749,0.905,0.575,-0.251,-0.676,0.596,-1.069,-0.342,0.454,0.609,-0.05,-0.319,0.186,0.657,-1.217,-0.775,-1.022,1.778,-0.005,-0.155,0.162,0.371,-0.942,-0.013,-0.902,0.998,-0.27,-0.636,1.437,-1.826,-0.875,0.151,0.708,-0.181,1.162,-0.337,-0.338,-1.63,0.983,0.965,-0.849,-1.751,0.213,-0.371,-1.75,-0.268,-0.069,-1.005,-16275.507
-0.637,2.351,-0.268,-1.159,0.824,-0.172,1.225,0.228,0.824,0.435,-0.459,-0.245,-1.796,0.292,-0.681,0.105,0.353,0.457,0.533,1.227,-1.134,1.859,0.23,-0.623,-0.343,0.541,-0.308,1.872,1.61,2.013,-0.847,-0.263,-1.019,1.014,-0.53,-0.514,0.95,0.341,-0.308,0.741,-0.563,-1.193,-1.033,3.129,-1.231,0.343,-2.355,0.011,0.322,1.404,-15744.15
-0.478,1.391,-2.274,-1.467,-1.561,0.24,-1.641,-0.601,0.477,1.813,0.872,-0.321,-0.69,-2.072,1.481,-1.54,0.252,1.695,-0.088,-1.139,-0.688,-0.151,-0.606,-1.569,0.05,-0.367,0.681,-0.003,0.679,0.198,-1.326,1.079,0.52,-2.077,-1.176,0.782,-0.32,0.953,0.434,0.073,-1.792,0.359,0.413,-0.597,-0.448,-1.116,0.433,1.554,1.144,1.624,-2197.531
-0.559,0.5,-0.384,1.155,0.19,-0.048,1.175,-0.026,-1.318,0.994,-2.116,-1.173,0.171,0.12,-0.178,-1.266,0.929,-1.694,-0.299,0.194,1.334,-1.166,0.637,-0.852,0.955,-0.298,-0.268,0.097,-0.491,-1.141,-2.252,0.632,-0.63,1.69,-1.457,0.471,-0.703,-0.622,-0.215,1.16,0.912,1.892,0.775,-0.583,-1.401,0.2,0.27,-0.672,0.198,-1.241,-22873.87
-1.766,-1.761,-1.842,-1.408,-0.115,-1.076,-0.517,-0.047,-1.511,-0.152,0.317,0.702,-0.318,0.534,-0.578,-0.021,1.052,-1.274,-0.106,-1.675,0.244,-0.111,-0.549,0.749,-0.581,-0.589,0.448,0.155,-0.185,1.149,0.079,0.894,0.549,0.539,-1.517,0.415,0.63,2.069,-0.569,0.406,-0.616,0.439,1.195,0.143,-0.327,1.11,-1.397,-0.918,-0.825,0.415,-1573.212
0.245,0.277,0.384,-0.405,-2.004,1.634,-0.063,-0.969,0.019,0.214,0.037,-1.176,0.129,0.27,-0.251,1.618,-0.066,-0.893,1.129,-1.875,-0.526,-0.696,0.65,-0.77,-1.52,0.437,0.268,1.145,1.187,1.365,0.535,1.856,-0.613,1.25,0.647,0.487,0.641,0.318,-0.264,0.214,0.837,-0.38,0.152,0.178,0.244,0.769,1.139,-2.217,-0.068,-0.87,-11446.098
-0.18,0.025,1.559,-0.762,0.279,0.302,-0.46,0.986,-1.182,1.2,0.981,0.43,0.305,-0.319,-0.462,0.613,-0.953,-1.243,-1.13,-0.13,0.412,-0.146,0.161,1.497,1.034,-0.301,0.402,0.156,-0.573,0.438,-2.019,-1.087,-0.717,1.723,1.099,-0.393,-1.879,-0.76,-0.169,-0.454,-0.781,0.432,-0.291,0.887,-0.009,1.649,0.833,0.315,-1,-0.135,-7779.527
0.819,0.48,0.718,-0.359,0.742,1.282,0.316,1.382,-0.282,-0.911,-1.317,1.055,-0.451,-0.98,0.906,0.729,-0.262,0.587,0.421,1.905,-0.677,-0.394,1.994,-0.498,1.555,-0.372,-0.256,-0.497,-0.507,-0.312,-1.028,0.065,0.791,0.34,-0.951,-0.952,1.495,0.136,0.752,-0.197,1.077,-0.698,-0.173,0.084,-1.88,-0.513,-0.728,-1.294,0.902,-0.19,-18240.429
-0.935,0.96,1.048,1.611,0.919,1.214,-0.069,-0.308,-1.328,0.027,-0.121,-0.544,0.757,-1.057,-0.578,0.592,0.141,0.357,-0.034,-0.336,-1.895,0.475,-1.653,-1.048,-0.175,-0.642,0.195,-0.322,1.013,0.399,0.796,1.267,0.681,0.002,-0.51,-0.844,0.6,0.286,0.448,-1.555,0.238,-0.991,-0.88,1.026,-0.972,1.339,2.023,-0.664,-2.197,-0.335,-17675.327
-0.16,1.34,-0.738,-0.444,1.796,-0.598,-0.02,1.769,0.75,-1.423,-0.021,-0.58,-0.987,-0.783,2.53,0.49,0.282,-0.39,-1.462,-2.137,-0.844,-0.256,1.514,-0.288,1.206,-0.89,-0.232,-1.828,1.397,-0.829,-1.087,-0.496,0.642,-0.863,-0.717,0.503,-0.608,0.801,-0.681,1.368,-0.489,0.649,0.984,-0.875,-0.999,0.722,-1.824,-0.117,-0.509,-0.53,-11857.14
0.859,-0.492,0.992,1.106,1.563,0.347,-1.397,-1.819,-0.995,1.367,-0.21,-0.784,1.426,-0.566,2.47,1.254,0.648,0.611,-0.111,-1.241,1.56,1.545,0.823,-2.824,0.605,-0.057,0.868,-0.356,-1.185,-0.56,-1.4,0.93,1.373,0.275,0.478,0.251,0.123,-0.519,-1.177,0.468,0.013,-0.575,-0.72,-1.024,0.66,-0.218,1.069,0.431,-0.36,1.174,-7178.177
0.098,-1.394,-2.012,0.291,-1.636,-0.781,-1.627,0.591,-0.607,1.779,1.172,0.385,1.389,0.836,0.047,-1.829,-0.531,0.207,-0.368,-1.312,0.442,-0.263,0.073,0.182,-1.154,0.184,0.159,-0.294,-0.949,0.567,-1.269,0.379,-0.199,0.685,1.623,0.664,-0.19,2.974,0.512,1.016,1.476,0.581,0.041,-0.206,-0.023,-1.054,0.895,-0.253,0.965,-0.122,-10604.832
-0.112,-0.081,-1.083,0.73,0.124,1.635,-0.347,0.94,-0.936,0.104,2.337,1.153,-1.441,-0.936,1.549,0.1,1.224,2.101,-0.826,-0.256,-0.749,0.604,-1.636,-0.405,0.314,-0.522,1.341,0.584,1.283,-1.4,1.068,-1.19,0.012,0.067,0.321,-0.691,1.044,0.384,1.607,-0.052,-1.503,1.303,0.788,-0.623,0.153,-0.479,-0.104,0.222,1.076,-0.847,-10398.943
-1.173,1.91,0.728,-1.159,1.608,0.086,0.201,0.04,-0.397,1.532,-0.076,1.818,-0.101,-1.081,-0.248,0.759,-0.693,1.131,0.551,2.009,1.363,-1.866,-0.742,-0.49,0.081,0.817,0.462,-0.662,0.239,-0.017,1.685,-1.469,-0.655,-1.043,0.209,0.783,1.087,-1.276,-0.059,1.184,1.518,1.178,-1.769,0.87,-0.461,1.707,-0.165,-2.39,1.04,-2.14,-14160.692
-1.606,-0.613,0.74,0.546,-1.308,-0.444,-0.332,0.278,-0.329,-0.814,0.156,0.956,0.393,-1.075,-0.011,-0.553,1.335,-2.198,-0.229,-0.229,0.255,-1.005,2.166,1.879,0.567,-0.204,0.075,0.844,0.013,-0.528,1.094,0.116,-1.54,1.218,-1.114,-0.018,1.179,-0.453,-0.075,0.668,-0.602,-0.433,0.095,1.702,0.326,0.076,-0.912,-0.893,0.445,-0.447,-16140.695
-0.658,-1.311,-2.486,1.32,-0.379,1.669,-0.097,1.063,0.43,0.042,0.547,0.801,-1.467,1.072,0.428,-0.526,-1.273,0.028,0.4,0.168,0.9,-0.097,1.3,0.259,-0.652,0.323,1.071,-0.721,-0.119,0.564,0.565,-1.689,0.715,-0.023,0.343,0.36,0.954,-0.353,-2.102,1.507,0.397,0.264,-0.206,0.865,0.473,1.53,0.626,-0.429,-0.695,-1.414,-8138.527
0.581,0.594,-1.758,-0.346,1.158,2.425,-0.298,-0.761,-0.711,-1.465,-1.191,-1.572,-1.545,1.633,0.178,2.288,0.47,-0.278,-1.084,-1.402,1.724,-1.21,0.747,0.676,1.175,-0.749,1.532,1.037,0.129,0.373,0.635,0.398,-0.804,0.302,-1.597,2.912,0.873,-1.417,0.269,-0.494,-0.758,-1.191,1.517,-0.208,-0.226,0.941,0.44,-0.282,0.225,2.224,-12245.701
0.208,-0.076,1.965,0.583,-0.676,0.124,-0.123,1.336,-0.297,-0.663,0.208,2.212,0.403,-0.021,0.631,0.482,0.007,-0.119,-1.179,0.487,0.988,-0.369,-1.341,-0.238,0.169,0.555,-0.397,0.105,-0.488,-1.539,0.632,-0.679,1.661,0.468,1.244,2.896,1.785,-0.834,-1.03,1.403,-0.83,2.132,1.494,-0.097,-1.197,-0.413,-1.556,0.108,-0.856,-0.556,-8942.96
0.906,-0.075,0.648,0.475,-0.844,-0.607,1.59,-0.336,0.373,-0.846,-0.858,-0.937,1.832,-1.402,1.612,-0.984,0.621,2.31,0.892,0.707,-0.982,-0.384,-0.162,1.689,-1.895,1.414,0.104,-0.139,1.073,-0.491,-0.375,-0.385,0.368,-0.018,0.295,-0.018,-0.514,-0.214,-0.128,-0.64,-0.562,-0.174,0.391,-1.12,-0.929,0.185,-0.123,1.858,-1.154,-1.277,-15491.007
2.39,-1.208,-0.238,1.511,-0.356,0.219,0.62,0.104,0.545,-1.521,-0.101,0.808,-0.238,1.005,-0.048,1.082,1.153,-0.311,-0.447,-0.888,0.493,1.013,-0.059,0.29,0.296,0.581,-1.213,-0.275,1.875,-0.733,-1.398,-0.737,-1.403,-0.424,-1.17,-1.523,1.812,0.531,-1.564,1.963,0.499,0.972,0.504,0.122,-1.33,0.06,-0.627,-2.684,-0.728,0.478,-4875.793
0.424,0.398,-0.514,1.778,-0.848,1.629,2.126,-1.258,0.715,-0.71,0.445,-0.871,-1.666,-1.177,0.424,1.303,-0.677,1.156,-0.006,1.695,0.327,-2.606,0.429,-0.662,-0.295,-0.924,0.476,-0.342,-0.848,-1.402,0.704,0.071,0.935,0.171,-1.039,-0.031,1.047,0.549,0.286,-0.446,1.765,-0.761,-0.969,-2.292,0.323,1.988,-0.179,0.653,-0.847,-0.242,-20924.678
1.523,1.057,-1.46,-0.558,0.336,-2.16,0.481,1.285,0.88,0.316,0.054,1.006,-0.39,-0.511,-0.243,0.452,1.968,0.025,-0.877,0.135,2.274,-0.242,0.076,-0.207,-2.598,0.689,-0.637,0.783,-0.354,-0.401,0.143,-0.416,0.495,-0.467,0.351,-0.717,0.319,-0.302,0.194,-0.485,0.253,-0.402,-0.127,1.063,-2.322,1.183,-0.21,0.235,-0.587,-1.023,-12359.37
-0.383,-1.421,-0.533,-0.486,0.779,0.59,0.127,-1,-0.868,-1.263,1.275,0.109,0.169,0.649,0.345,-1.529,1.47,0.771,-0.418,0.728,0.09,-0.297,-0.929,0.156,0.618,-0.2,0.853,0.96,1.132,-0.715,-0.115,0.246,0.28,-0.758,-0.943,1.425,2.414,0.875,0.635,0.375,0.688,0.974,-1.886,-0.302,-0.537,-0.156,-1.195,-0.288,-0.142,0.751,-8790.793
-0.581,0.648,-0.14,1.588,1.82,1.405,0.49,-1.427,0.246,0.865,0.022,-0.016,1.289,0.86,0.359,0.195,-2.558,0.789,0.713,-0.207,1.377,1.389,-0.934,-1.021,-0.027,-0.264,-0.029,0.75,1.852,0.268,1.795,0.144,2.309,-1.523,0.733,-1.339,0.402,0.129,-1.189,-0.663,1.081,0.259,-0.101,-0.449,0.579,-0.143,-0.014,-0.234,0.656,-2.903,-7201.179
0.33,0.505,0.979,-1.088,-0.346,0.424,1.223,1.99,-0.998,-0.584,0.59,0.067,0.393,-0.65,-0.349,-0.531,0.479,0.491,0.205,-1.688,-0.131,-1.6,0.013,1.601,-1.044,0.512,0.29,0.603,0.41,0.288,-1.004,-0.63,-1.104,-0.379,0.185,1.047,1.997,-0.085,0.754,0.344,-2.419,-0.074,-2.168,-1.284,-0.968,0.151,-0.3,0.119,1.434,-0.164,-14873.003
0.908,-0.177,-1.643,0.035,-1.991,0.26,0.513,-0.577,-1.049,-1.848,-0.52,-0.18,1.299,1.173,-2.15,-0.572,-0.967,-1.443,0.015,0.365,0.013,0.345,-0.106,0.439,-0.039,-0.205,-0.255,-1.339,-0.451,-0.254,-2.111,0.998,0.001,-0.812,-1.049,-0.903,0.922,0.743,0.143,0.179,2.124,0.074,-0.653,-0.688,-0.457,-0.887,0.016,0.048,-1.67,-0.646,-12492.9
0.693,1.498,-1.392,1.011,-1.953,1.481,0.586,-0.626,-0.635,-1.463,-0.039,-0.256,0.628,0.117,-1.281,0.775,-2.432,0.857,-0.687,0.724,-0.589,0.11,-0.611,0.195,-0.344,2.163,0.991,-1.093,-1.537,1.706,-1.124,-0.124,1.074,0.05,-0.632,-0.323,-0.5,0.142,0.455,1.005,-0.857,-0.036,-2.468,-0.238,-0.267,-0.316,1.217,-0.344,0.674,0.79,-7176.95
0.028,-1.769,-0.477,0.495,0.143,-0.595,0.996,-1.135,1.82,0.537,2.966,0.841,0.916,0.69,-0.24,-0.406,-0.719,0.025,0.215,1.243,-0.61,-0.162,0.667,1.1,1.267,-0.178,-1.658,-1.333,-2.477,1.898,2.074,1.944,0.227,-0.363,-0.67,0.094,-0.582,0.25,-2.006,0.708,0.695,0.042,-0.506,-0.792,-2.569,-0.275,-0.232,-1.976,-0.078,0.269,-11417.907
0.056,0.45,-0.806,1.052,1.055,-0.944,-0.534,-0.361,-0.788,-0.38,-0.258,-0.157,0.011,-1.319,-0.762,0.69,-0.528,0.828,-1.007,-2.004,0.091,-0.246,1.071,-2.216,0.366,-1.363,1.13,1.608,-0.739,-0.04,-2.518,-0.916,0.347,-1.141,-0.244,0.138,-0.526,-0.992,0.084,0.173,-0.266,0.067,-1.611,-0.522,1.978,-0.56,-0.325,-1.461,0.105,-1.469,-5297.943
0.006,-0.17,0.481,0.69,0.299,-1.527,0.276,0.08,0.981,-1.431,1.09,-0.549,-1.527,-0.164,0.975,-0.906,-1.467,-0.136,-0.8,0.782,-0.275,0.287,-1.295,-0.189,0.587,-1.001,-0.356,0.489,-0.72,-0.752,0.072,0.888,-0.682,-0.54,-0.723,-0.506,-0.619,-0.478,-0.159,-0.683,3.208,-1.42,-0.947,0.29,0.993,1.086,-0.111,-0.471,-0.771,0.428,-5361.736
-2.499,-0.407,0.465,0.659,0.593,-0.096,-1.091,0.21,0.747,1.193,0.431,1.579,-2.284,0.501,2.438,-0.348,2.779,-1.014,1.557,-1.339,1.113,0.801,0.103,-1.605,-0.356,0.331,-1.592,0.027,-0.906,0.91,-1.135,1.736,0.064,0.039,1.913,-0.276,-1.479,-1.213,-1.004,-0.593,0.996,0.142,-1.261,0.004,-0.387,0.957,1.072,0.772,1.076,1.062,-5757.756
1.072,-0.766,0.876,0.435,-0.741,1.346,0.191,-0.112,-0.016,-1.719,-0.252,-0.926,2.123,-0.088,-1.099,-0.83,-1.54,0.399,-0.528,-0.622,-2.676,-0.75,0.513,0.87,0.376,-1.298,-0.135,0.162,-0.79,-1.887,-0.471,-1.176,-0.737,-0.808,1.056,-0.577,1.229,0.381,-0.005,-0.601,-1.806,-1.491,1.093,-1.064,1.518,-1.296,0.462,1.109,1.964,-0.599,-13613.611
0.661,-1.379,-0.963,-1.117,-0.131,-0.035,-0.009,-2.226,-0.808,0.604,1.757,0.952,-1.633,-0.234,0.55,2.235,-1.506,-0.88,1.367,1.347,-2.94,0.097,0.519,0.774,-0.433,1.032,-0.353,0.159,-0.307,0.591,0.255,0.235,-0.382,0.547,-0.579,1.506,1.384,0.843,-0.794,0.67,0.818,-0.741,-1.898,-0.498,-0.065,-1.115,-1.022,0.257,-1.119,-0.636,-6626.095
-0.147,0.323,0.478,0.176,0.281,-1.585,-0.206,0.812,1.026,0.435,-0.942,1.586,-0.785,1.234,1.233,0.728,0.045,-1.82,0.516,1.793,1.04,-0.536,-0.385,-1.082,0.997,0.685,-0.144,-0.078,-1.575,0.616,-1.145,1.078,0.049,0.545,0.421,-0.507,-0.914,0.293,-0.621,-0.337,0.238,0.832,-0.347,0.247,0.248,-0.322,-0.463,0.634,-1.873,1.19,-4626.766
1.142,0.969,0.507,-0.543,-0.429,-1.925,1.517,0.373,-0.011,0.887,2.109,-0.763,-0.352,1.732,0.162,-0.599,-0.544,-0.108,1.613,0.922,-0.358,-1.465,0.482,0.179,0.839,-0.783,-0.395,-0.519,1.394,0.033,1.424,-1.586,-0.092,1.144,0.171,0.293,-0.661,-0.03,2.2,-0.532,1.057,2.808,0.703,-1.347,-0.529,0.393,0.325,-0.398,0.098,1.209,-8713.478
1.465,-1.732,1.289,0.077,-2.469,-0.991,0.039,0.897,1.376,-0.24,1.344,0.44,-0.301,0.479,-0.375,-0.147,0.399,2.033,-1.057,0.995,-0.311,-1.749,-0.895,0.043,-0.863,-0.078,-0.482,-0.878,0.433,-0.616,-0.384,1.128,-0.516,-1.657,1.02,-0.44,1.047,0.973,-0.28,0.82,-0.558,0.322,1.31,-1.09,2.919,0.917,-0.074,0.43,-1.3,0.739,-11779.4
-1.023,1.288,0.929,-1.042,-2.491,0.742,0.15,0.029,-2.009,0.432,-1.175,0.305,-1.304,-0.897,1.12,-0.73,-1.519,-0.2,0.942,-1.326,-0.88,0.98,-0.466,0.136,-1.609,-0.249,1.073,-0.463,0.928,0.54,1.771,-1.81,-2.05,1.659,0.53,1.011,0.064,-0.051,-1.211,1.589,0.1,-0.279,-0.384,1.201,-0.332,-1.201,-0.606,-0.17,-0.755,-0.513,-10746.059
-2.077,0.213,-0.239,-0.261,0.479,-1.045,0.148,-0.596,-1.316,-0.377,0.761,-1.542,1.815,1.278,-2.542,-0.573,-1.115,-1.088,0.854,-1.055,1.48,-1.484,0.163,1.28,-0.091,0.982,0.895,0.069,0.523,-0.442,-0.071,-1.708,0.168,-1.269,-0.95,-0.403,1.144,-0.202,0.541,-1.433,-0.988,0.814,-0.67,0.28,0.528,-0.24,-0.807,0.929,-2.11,-0.225,-6188.318
0.962,-0.298,-1.304,1.275,0.704,-0.808,-0.328,0.145,-0.182,-2.884,-0.729,-1.253,-1.287,1.383,-0.339,1.07,-1.008,0.936,-0.321,-1.373,1.206,-0.579,-1.03,-0.134,0.369,0.747,-1.503,-0.576,0.717,-0.084,1.646,-1.629,0.255,0.651,-0.703,-0.189,0.846,0.229,1.021,-1.658,0.865,-0.538,-0.624,-1.098,-0.924,-0.569,0.86,0.252,-1.22,-1.155,-429.238
-0.738,0.518,1.525,-0.118,0.009,1.152,-0.572,0.669,0.122,-1.398,0.209,-0.051,0.535,-0.409,0.081,-3.661,-0.098,-1.073,-1.141,-0.655,0.085,2.163,-0.602,0.281,0.294,0.468,-0.371,-2.475,0.233,-0.135,-0.43,-0.503,-0.275,0.063,-0.883,1.651,1.115,-0.532,-0.169,-0.914,-0.49,1.059,-0.373,-0.242,-1.109,0.128,0.007,1.931,-0.404,-0.764,-27151.895
0.411,-1.319,0.735,0.397,-1.311,0.382,-0.005,-1.046,-0.368,-0.717,1.062,-0.88,-1.84,-0.177,1.072,0.287,1.303,-1.614,0.497,0.285,0.731,1.043,-2.063,-0.89,-0.532,1.633,-1.236,-0.692,1.314,0.091,-1.494,-0.124,-2.349,-1.471,0.136,0.726,-0.468,1.997,0.665,-0.529,1.122,0.886,-0.19,1.333,-0.734,-0.549,-0.335,0.25,-2.618,0.14,-17565.675
-0.217,1.169,-0.895,-2.823,1.019,-0.374,-0.582,-1.607,-1.065,0.17,-0.681,-0.195,0.268,-0.308,-0.367,-0.342,-0.219,-0.883,-0.451,-1.36,-1.148,1.087,0.993,-1.045,0.128,0.561,-0.681,1.004,-1.083,-0.137,0.875,2.401,1.552,-0.588,1.123,-0.032,-0.854,-3.407,-0.155,1.098,0.574,0.726,-0.536,0.183,-0.092,-0.574,0.928,-0.113,-0.279,-1.223,-11574.037
1.288,-0.956,0.284,1.223,-0.974,0.79,-0.54,1.051,1.719,1.576,-0.343,1.694,0.678,-0.078,-0.258,-0.043,2.286,-0.615,0.054,1.225,0.05,0.452,-1.448,-1.434,0.452,0.911,-1.624,0.161,0.373,-1.01,-0.964,-1.477,-0.384,0.179,-0.847,-0.973,1.68,-0.874,0.636,1.01,0.339,-0.464,-0.613,-1.079,-1.473,0.705,1.041,0.238,-0.081,0.573,-2627.778
1.203,-0.99,-0.667,-0.304,-0.446,-0.051,1.71,0.444,-0.156,-1.738,-0.219,-2.087,0.407,-1.205,-1.804,1.325,-1.474,-0.447,0.572,0.471,-0.692,-1.289,-0.364,-0.112,0.268,-1.349,-1.402,-0.769,-0.359,-0.784,0.686,0.886,0.926,0.081,-2.019,-0.916,-0.714,-0.95,0.176,0.368,0.189,-1.716,-1.575,-1.543,-0.637,2.231,-0.902,0.623,0.317,-1.322,-10622.592
-0.873,0.148,1.029,2.49,1.318,-0.237,0.633,0.314,1.153,1.275,-0.809,-1.027,-0.998,0.181,0.741,0.459,-0.1,-0.278,-1.077,0.704,-0.918,1.72,-0.221,-0.481,-1.078,1.226,0.126,-1.091,-0.222,0.309,1.501,-1.549,-0.191,1.871,-0.206,0.251,-0.356,1.922,1.26,0.585,-0.659,-0.129,-0.188,-0.578,0.763,-0.573,0.328,-0.161,1.074,-0.19,-2662.172
-0.413,0.309,1.51,0.23,-0.67,0.181,0.498,0.286,1.743,-0.36,0.354,2.3,-0.321,0.433,-0.221,1.212,0.661,0.138,0.299,-0.848,-0.894,-0.817,-0.442,-0.27,-1.239,0.226,-0.246,0.524,2.109,2.138,-0.231,0.507,-0.19,0.524,-0.082,-0.782,0.613,-0.135,0.655,-0.724,-0.229,-1.323,-1.134,1.643,0.643,0.203,-0.129,0.078,-2.247,-0.52,-6499.854
1.194,-0.836,0.424,0.572,-1.065,1.443,0.576,0.241,0.745,-1.405,1.585,-0.724,-0.121,0.665,-1.381,0.091,2.507,-0.671,0.032,0.345,0.792,-1.184,-0.205,1.256,-0.205,-1.583,-2.766,0.551,-1.33,-0.871,-0.791,0.423,-0.732,-0.916,-0.082,0.821,1.053,1.034,0.465,0.37,0.852,0.988,-0.752,-0.682,-2.007,-0.207,-0.616,0.143,-1.407,-1.211,-20610.098
-0.555,0.547,-1.203,1.005,-1.127,-1.297,-1.026,0.896,0.248,-0.922,-1.021,1.257,-0.613,-1.943,0.415,-0.919,0.272,1.396,0.604,0.102,0.362,-0.974,0.348,-0.284,0.233,0.389,-0.438,-0.954,1.025,0.173,-0.336,-0.023,0.093,0.15,-1.029,-0.366,1.108,0.299,0.753,-0.958,-1.338,-1.035,-0.301,-1.189,0.01,-0.743,1.025,-1.078,1.037,0.863,-5613.766
-1.967,-0.397,-0.19,0.439,-0.595,0.285,0.266,0.714,0.105,0.847,-1.807,-2.218,-1.152,0.454,-0.423,0.746,-0.447,-0.655,-0.09,0.173,-1.27,-0.73,0.029,-0.549,0.414,-0.372,1.108,0.444,0.538,0.485,0.861,-0.341,-0.251,1.092,0.368,-0.175,0.6,-2.057,1.369,-0.578,-1.152,1.138,-0.794,0.451,0.616,1.366,-0.939,0.026,0.164,1.781,-3968.816
-1.119,-0.32,1.506,-0.87,-0.415,-0.872,-0.056,-0.156,-0.831,-1.298,-1.632,-0.342,0.605,-1.014,-0.953,-0.534,0.989,1.688,0.922,-0.685,-0.058,-0.087,-1.455,1.83,-1.633,0.106,-0.257,-1.455,-1.349,1.935,0.747,0.701,1.376,-0.441,-1.196,1.098,-0.566,0.792,0.049,-0.916,-0.337,0.38,0.043,-0.85,-0.42,-0.609,-0.58,-0.39,1.154,-3.006,-27082.474
0.484,0.328,-0.545,-0.368,-0.224,0.031,1.645,-0.015,-0.398,-1.188,-0.285,-1.067,1.443,0.022,-0.883,0.631,-0.277,0.034,0.057,-0.687,-1.272,1.012,0.741,0.856,-0.091,1.261,0.577,-0.359,-1.149,0.285,-1.053,-0.256,-0.936,1.108,1.239,-0.332,-0.331,1.139,-0.355,-0.257,-2.123,-0.884,-0.374,-1.046,0.09,-2.838,1.187,-1.468,-0.326,1.532,-10015.094
1.583,-1.176,0.099,0.839,0.933,-0.02,1.12,-0.23,1.328,0.641,-2.359,-0.166,0.58,-0.938,0.69,-0.186,-1.374,0.213,0.123,1.481,-0.811,-0.989,-0.069,1.694,2.323,-0.123,-0.971,0.46,-0.579,1.075,0.406,-1.077,1.368,0.438,-0.541,-0.246,-0.065,-1.418,0.846,-0.095,-0.712,-1.007,1.521,0.653,1.324,0.101,-0.973,1.155,1.039,-0.335,-1697.813
-1.526,-1.197,1.483,-1.615,-1.09,-1.066,0.705,0.014,-0.488,-0.177,0.734,0.541,-0.766,2.301,-0.295,0.379,-1.296,0.185,1.41,-0.205,1.491,-0.088,0.957,-0.563,0.691,-0.449,0.036,-0.424,0.303,0.902,-0.413,-0.276,0.526,-0.529,1.035,-0.233,0.433,-0.992,-0.019,0.629,-0.108,0.343,0.585,1.958,-0.909,-2.074,-0.009,0.039,0.034,0.642,-2620.613
-0.673,0.73,1.066,-0.839,-0.406,0.319,-0.007,2.887,0.459,0.903,0.88,0.757,-0.688,-0.81,0.601,-0.265,-0.633,-0.759,1.045,0.219,-1.219,-0.09,-2.055,-0.407,-1.169,1.871,0.298,0.534,1.208,1.422,-1.439,-0.604,0.002,-1.185,-0.283,1.269,0.559,0.568,1.219,-2.029,-0.224,-0.171,0.013,0.102,-1.034,1.736,1.087,-0.366,-0.795,0.057,-12652.337
0.29,1.402,-1.281,0.517,0.248,-0.055,-0.062,1.081,-0.312,-0.604,2.262,1.303,0.445,3.264,-1.366,0.316,2.098,0.71,0.475,0.102,-0.124,-1.785,-2.133,0.4,-0.445,-1.523,-1.806,1.076,-0.53,-0.842,-1.28,0.576,-0.483,0.748,0.374,-0.625,-2.054,-0.06,0.634,0.832,0.438,0.568,1.501,-0.584,-0.165,-1.043,1.03,0.498,1.091,0.383,-8867.859
-0.81,1.734,-1.4,0.502,-0.093,-0.318,-1.016,0.42,-0.799,-0.493,0.911,-1.56,-0.542,0.242,0.084,-0.236,-0.395,1.92,0.397,0.842,0.4,0.986,-1.279,-1.897,-0.268,-0.506,1.361,2.757,-1.235,-0.168,-0.322,-0.962,0.319,0.557,-1.369,0.806,-1.34,0.519,-0.345,-1.555,0.053,0.51,0.151,0.416,0.082,-0.238,-0.849,2.135,0.803,-0.027,-10638.892
-0.161,0.133,0.023,-0.047,-1.442,0.593,1.514,0.54,-1.445,-0.222,0.812,-0.462,1.709,-0.294,0.438,-0.386,-2.22,-1.002,-1.632,0.015,-0.641,-0.873,-1.195,0.785,-0.918,0.515,0.081,0.002,-1.426,0.257,0.281,-0.257,-0.365,0.223,-0.065,-0.002,0.393,-1.664,-0.314,-2.15,-0.487,-0.218,0.59,1.705,1.714,-1.071,0.952,-0.146,1.043,-0.208,-10932.338
